data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2021,44398665,144486487,1,2021-09-30,1,N,13B,45,42,M,20,40,U,,,42,
2021,44398692,144486796,1,2021-10-17,3,N,23H,67,64,F,20,20,R,,,64,
2021,44398671,144486539,1,2021-09-30,1,N,13C,33,30,M,20,40,R,,,30,
2021,44648711,145438144,1,2021-09-30,3,N,290,32,29,M,98,20,U,,,29,
2021,44398649,144486341,1,2021-09-30,1,N,13B,30,27,F,20,40,R,,,27,
2021,46149898,150921466,1,2021-09-30,1,N,23H,51,48,M,20,20,U,,,48,
2021,43979817,142969557,1,2021-09-30,1,N,35A,22,19,M,20,20,U,,,19,
2021,44398676,144486632,1,2021-09-30,1,N,13B,27,24,F,20,20,U,,,24,
2021,44398670,144486534,1,2021-09-30,1,N,13B,34,31,M,98,40,U,,,31,
2021,44989838,146707524,1,2021-09-30,1,N,35A,34,31,M,20,20,N,,,31,
2021,44398640,144486175,1,2021-10-01,1,N,13B,46,43,F,20,20,R,,,43,
2021,44398648,144486307,1,2021-10-01,1,N,290,42,39,M,20,40,N,,,39,
2021,44989873,146707744,1,2021-10-01,1,N,520,29,26,M,20,20,U,,,26,
2021,44989874,146707744,2,2021-10-01,1,N,520,28,25,M,20,40,U,,,25,
2021,44398655,144486363,1,2021-10-01,1,N,13B,24,21,F,10,10,U,,,21,
2021,44398700,144486886,1,2021-10-01,1,N,11D,47,44,M,10,40,R,,,44,
2021,44398683,144486738,1,2021-10-01,1,N,13B,25,22,M,98,10,R,,,22,
2021,44398677,144486635,1,2021-10-01,1,N,13C,29,26,M,20,20,U,,,26,
2021,44989879,146707768,1,2021-10-01,1,N,520,46,43,M,20,40,R,,,43,
2021,44989855,146707669,1,2021-10-01,1,N,520,19,16,M,20,20,U,R,,16,
2021,44398688,144486764,1,2021-10-01,1,N,13B,56,53,M,20,20,U,,,53,
2021,44398679,144486659,1,2021-10-01,1,N,13B,35,32,M,10,10,U,,,26,39
2021,44398632,144486129,1,2021-10-09,3,N,13C,67,64,M,20,20,R,,,64,
2021,44989853,146707645,1,2021-12-28,3,N,13B,35,32,F,20,20,U,,,32,
2021,44398633,144486139,1,2021-10-02,3,N,13A,28,25,F,20,20,U,,,25,
2021,44398642,144486217,1,2021-10-01,1,N,13B,47,44,M,20,20,N,,,44,
2021,44398693,144486804,1,2021-10-01,1,N,13B,36,33,M,20,20,U,,,33,
2021,44398635,144486142,1,2021-10-01,1,N,13B,28,25,M,20,20,U,,,25,
2021,44398666,144486505,1,2021-10-02,1,N,13B,35,32,M,98,10,R,,,32,
2021,46149878,150921388,1,2022-02-23,3,N,09A,32,29,M,20,20,R,,,29,
2021,46149879,150921388,2,2021-12-17,3,N,09A,31,28,M,20,40,U,,,28,
2021,44398699,144486853,1,2021-10-02,1,N,13B,33,30,M,20,20,R,,,30,
2021,44398675,144486610,1,2021-10-02,1,N,13C,32,29,M,20,20,N,,,29,
2021,44398667,144486516,1,2021-10-02,1,N,11D,37,34,M,20,40,U,,,34,
2021,44398663,144486455,1,2021-10-02,1,N,13C,31,28,M,20,20,U,,,28,
2021,45742768,149543834,1,2021-10-02,1,N,23F,40,37,M,20,40,U,,,37,
2021,44398680,144486663,1,2021-10-02,1,N,23H,41,38,M,10,40,R,,,38,
2021,44398664,144486481,1,2021-10-02,1,N,13B,26,23,M,20,40,U,,,23,
2021,45742488,149542944,1,2021-12-16,3,N,11D,40,37,M,20,20,R,,,37,
2021,44398684,144486739,1,2021-10-02,1,N,13B,23,20,F,20,40,U,,,20,
2021,44398644,144486231,1,2021-10-02,1,N,13B,48,45,M,20,20,R,,,45,
2021,44398686,144486759,1,2021-10-02,1,N,13B,38,35,M,20,20,R,,,35,
2021,44398646,144486260,1,2021-10-02,1,N,13A,47,44,F,20,20,U,,,44,
2021,44989882,146707791,1,2021-10-02,1,N,13C,30,27,M,20,20,R,,,27,
2021,44398624,144486083,1,2021-10-02,1,N,13B,28,25,M,10,10,U,,,25,
2021,44398758,144487427,1,2021-10-02,1,N,13B,26,23,M,20,20,R,,,23,
2021,44989861,146707700,1,2021-10-02,1,N,520,28,25,M,20,20,R,,,25,
2021,44398710,144486971,1,2021-10-02,1,N,35A,69,66,M,20,40,U,,,66,
2021,44398732,144487216,1,2021-10-02,1,N,290,29,26,F,20,20,R,,,26,
2021,44989834,146707491,1,2021-10-02,1,N,13C,20,17,F,20,20,R,R,,17,
2021,44398737,144487251,1,2021-10-04,1,N,35A,29,26,M,20,40,R,,,26,
2021,44398743,144487291,1,2021-10-20,1,N,13A,33,30,M,20,20,U,,,30,
2021,44398753,144487388,1,2021-10-02,1,N,13B,39,36,M,10,20,U,,,36,
2021,44398768,144487503,1,2021-10-02,1,N,520,31,28,M,20,20,U,,,28,
2021,44398741,144487286,1,2021-10-02,1,N,11D,36,33,M,20,20,N,,,33,
